===== Fri Sep 25 19:43:35 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-7   | 2026-09-25T22:43:38.075512251Z [REBALANÇO] consumer-8835df5fa414 recebeu as partições []
consumer-23  | 2026-09-25T22:43:38.033022323Z [REBALANÇO] consumer-59575df6092f perdeu as partições []
consumer-23  | 2026-09-25T22:43:38.073085793Z [REBALANÇO] consumer-59575df6092f recebeu as partições []
consumer-8   | 2026-09-25T22:43:38.044164573Z [REBALANÇO] consumer-4cc65e761151 perdeu as partições []
consumer-8   | 2026-09-25T22:43:38.073967383Z [REBALANÇO] consumer-4cc65e761151 recebeu as partições []

===== Fri Sep 25 19:43:46 -03 2026 - Religando distconc-guilherme-marcela-consumer-1
distconc-guilherme-marcela-consumer-1

===== Eventos de rebalanço após a volta
consumer-27  | 2026-09-25T22:43:38.026933490Z [REBALANÇO] consumer-60c8690f18ac perdeu as partições []
consumer-27  | 2026-09-25T22:43:38.074438403Z [REBALANÇO] consumer-60c8690f18ac recebeu as partições []
consumer-27  | 2026-09-25T22:43:47.089798055Z [REBALANÇO] consumer-60c8690f18ac perdeu as partições []
consumer-27  | 2026-09-25T22:43:47.133419424Z [REBALANÇO] consumer-60c8690f18ac recebeu as partições []
consumer-22  | 2026-09-25T22:43:38.043538036Z [REBALANÇO] consumer-d4ee2407f35e perdeu as partições []
consumer-22  | 2026-09-25T22:43:38.072384491Z [REBALANÇO] consumer-d4ee2407f35e recebeu as partições []
consumer-22  | 2026-09-25T22:43:47.076158990Z [REBALANÇO] consumer-d4ee2407f35e perdeu as partições []
consumer-22  | 2026-09-25T22:43:47.132408653Z [REBALANÇO] consumer-d4ee2407f35e recebeu as partições []
consumer-15  | 2026-09-25T22:43:38.031364209Z [REBALANÇO] consumer-c6d6e0acf841 perdeu as partições []
