===== Fri Sep 25 19:46:31 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-1   | 2026-09-25T22:46:32.076459191Z [REBALANÇO] consumer-f713e6b08a14 perdeu as partições [2]
consumer-13  | 2026-09-25T22:46:32.242647439Z [REBALANÇO] consumer-cd7fac13e368 perdeu as partições []
consumer-13  | 2026-09-25T22:46:32.272282265Z [REBALANÇO] consumer-cd7fac13e368 recebeu as partições []
consumer-10  | 2026-09-25T22:46:32.242749144Z [REBALANÇO] consumer-d5c728094122 perdeu as partições [4]
consumer-10  | 2026-09-25T22:46:32.272469788Z [REBALANÇO] consumer-d5c728094122 recebeu as partições [3]

===== Fri Sep 25 19:46:42 -03 2026 - Religando distconc-guilherme-marcela-consumer-1
distconc-guilherme-marcela-consumer-1

===== Eventos de rebalanço após a volta
consumer-3  | 2026-09-25T22:46:32.250979417Z [REBALANÇO] consumer-33366a8570f2 perdeu as partições []
consumer-3  | 2026-09-25T22:46:32.272306827Z [REBALANÇO] consumer-33366a8570f2 recebeu as partições []
consumer-3  | 2026-09-25T22:46:44.285576995Z [REBALANÇO] consumer-33366a8570f2 perdeu as partições []
consumer-3  | 2026-09-25T22:46:44.327411864Z [REBALANÇO] consumer-33366a8570f2 recebeu as partições []
consumer-24  | 2026-09-25T22:46:32.249534840Z [REBALANÇO] consumer-24a4a1b547f6 perdeu as partições []
consumer-24  | 2026-09-25T22:46:32.272103997Z [REBALANÇO] consumer-24a4a1b547f6 recebeu as partições []
consumer-24  | 2026-09-25T22:46:44.292646360Z [REBALANÇO] consumer-24a4a1b547f6 perdeu as partições []
consumer-24  | 2026-09-25T22:46:44.327109527Z [REBALANÇO] consumer-24a4a1b547f6 recebeu as partições []
consumer-7   | 2026-09-25T22:46:32.235497175Z [REBALANÇO] consumer-8835df5fa414 perdeu as partições []
consumer-7   | 2026-09-25T22:46:32.272101519Z [REBALANÇO] consumer-8835df5fa414 recebeu as partições []
consumer-7   | 2026-09-25T22:46:44.284001221Z [REBALANÇO] consumer-8835df5fa414 perdeu as partições []
consumer-7   | 2026-09-25T22:46:44.327534139Z [REBALANÇO] consumer-8835df5fa414 recebeu as partições []
consumer-20  | 2026-09-25T22:46:32.223799543Z [REBALANÇO] consumer-15e3255a254d perdeu as partições []
consumer-20  | 2026-09-25T22:46:32.271670720Z [REBALANÇO] consumer-15e3255a254d recebeu as partições []
consumer-20  | 2026-09-25T22:46:44.284705966Z [REBALANÇO] consumer-15e3255a254d perdeu as partições []
consumer-20  | 2026-09-25T22:46:44.327644728Z [REBALANÇO] consumer-15e3255a254d recebeu as partições []
consumer-18  | 2026-09-25T22:46:32.243557775Z [REBALANÇO] consumer-8979762285ff perdeu as partições []
consumer-18  | 2026-09-25T22:46:32.271533859Z [REBALANÇO] consumer-8979762285ff recebeu as partições []
consumer-18  | 2026-09-25T22:46:44.284897783Z [REBALANÇO] consumer-8979762285ff perdeu as partições []
consumer-18  | 2026-09-25T22:46:44.323985334Z [REBALANÇO] consumer-8979762285ff recebeu as partições []
consumer-1   | 2026-09-25T22:46:32.076459191Z [REBALANÇO] consumer-f713e6b08a14 perdeu as partições [2]
